タイトル,メモ,URL,タグ,コメント
,,,,
アジア食堂ココナッツ 吉祥寺 ハーモニカ横丁,"店内一階席がワンコ🆗です
ワンコメニューもあります。",https://www.google.com/maps/place/%E3%82%A2%E3%82%B8%E3%82%A2%E9%A3%9F%E5%A0%82%E3%82%B3%E3%82%B3%E3%83%8A%E3%83%83%E3%83%84+%E5%90%89%E7%A5%A5%E5%AF%BA+%E3%83%8F%E3%83%BC%E3%83%A2%E3%83%8B%E3%82%AB%E6%A8%AA%E4%B8%81/data=!4m2!3m1!1s0x6018ee47e6569773:0x33e7360f77724c39,,
熱海銀座おさかな食堂はなれ,"モーニングのみインナーテラス席ワンコ🆗です。
繁忙期はNGにしているらしく時期は要問合せ",https://www.google.com/maps/place/%E7%86%B1%E6%B5%B7%E9%8A%80%E5%BA%A7%E3%81%8A%E3%81%95%E3%81%8B%E3%81%AA%E9%A3%9F%E5%A0%82%E3%81%AF%E3%81%AA%E3%82%8C/data=!4m2!3m1!1s0x6019bfb6e6de6dd1:0xf6f9fcdfe405123f,,
ドッグカフェ＆パンケーキ Latere Garden 横浜/みなとみらい,"店内ワンコ🆗です
室内と室外でドッグランあり",https://www.google.com/maps/place/%E3%83%89%E3%83%83%E3%82%B0%E3%82%AB%E3%83%95%E3%82%A7%EF%BC%86%E3%83%91%E3%83%B3%E3%82%B1%E3%83%BC%E3%82%AD+Latere+Garden+%E6%A8%AA%E6%B5%9C%2F%E3%81%BF%E3%81%AA%E3%81%A8%E3%81%BF%E3%82%89%E3%81%84/data=!4m2!3m1!1s0x60185d1db3f8d19d:0x43fece7d13fef32d,,
Oklm(オーケーエルエム),店内ワンコ🆗です,https://www.google.com/maps/place/Oklm(%E3%82%AA%E3%83%BC%E3%82%B1%E3%83%BC%E3%82%A8%E3%83%AB%E3%82%A8%E3%83%A0)/data=!4m2!3m1!1s0x6018f1e35da7a5cd:0xbe377f282952fefb,,
隆昌園,店内ワンコ🆗です,https://www.google.com/maps/place/%E9%9A%86%E6%98%8C%E5%9C%92/data=!4m2!3m1!1s0x60185ce37ecb1901:0x935fdff033eed3b1,,
Dog Socialize Club,室内ドッグラン、カフェ併設,https://www.google.com/maps/place/Dog+Socialize+Club/data=!4m2!3m1!1s0x6018f3e5f803028f:0x8ef8242bdb13646,,
フジマルサイゴンプロパガンダ,外席ワンコ🆗です,https://www.google.com/maps/place/%E3%83%95%E3%82%B8%E3%83%9E%E3%83%AB%E3%82%B5%E3%82%A4%E3%82%B4%E3%83%B3%E3%83%97%E3%83%AD%E3%83%91%E3%82%AC%E3%83%B3%E3%83%80/data=!4m2!3m1!1s0x6018f5ac5fbe8c29:0xcf802f0b4d3fe44,,
栄茶屋 本店,"外卓ワンコ🆗です
屋根あり、ワンコのお水も頂けます",https://www.google.com/maps/place/%E6%A0%84%E8%8C%B6%E5%B1%8B+%E6%9C%AC%E5%BA%97/data=!4m2!3m1!1s0x60191be1e355c8e1:0xcbef4821f13b0f65,,
Himono Dining かまなり atami Dried fish cuisine restaurant,"店内ワンコ🆗、店奥の個室のみで、店裏の個室への直接入口から入店。
モーニングあり。
店頭の足湯はワンコ🆖だけど、足湯席への同伴自体は🆗",https://www.google.com/maps/place/Himono+Dining+%E3%81%8B%E3%81%BE%E3%81%AA%E3%82%8A+atami+Dried+fish+cuisine+restaurant/data=!4m2!3m1!1s0x6019be66fcfbb0ef:0x1288bb3360f2042f,,
